Rank,Title,Score,Your Score,Status
1,"Ousama Ranking Watch Promotional Video   TV (23 eps) Oct 2021 - 113,004 members",8.84,N/A,Add to list
2,"Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 Watch Promotional Video   TV (12 eps) Oct 2021 - Dec 2021 353,307 members",8.66,N/A,Add to list
3,"86 Part 2 Watch Promotional Video   TV (12 eps) Oct 2021 - 186,239 members Manga Store Volume 1 £4.16 Preview",8.62,N/A,Add to list
4,"One Piece Watch Episode Video   TV (? eps) Oct 1999 - 1,710,154 members",8.61,N/A,Add to list
5,"Holo no Graffiti   ONA (? eps) May 2019 - 39,981 members",8.46,N/A,Add to list
6,"Kimetsu no Yaiba: Mugen Ressha-hen Watch Episode Video   TV (7 eps) Oct 2021 - Nov 2021 198,306 members",8.38,N/A,Add to list
7,"Komi-san wa, Comyushou desu. Watch Promotional Video   TV (? eps) Oct 2021 - 386,006 members",8.32,N/A,Add to list
8,"World Trigger 3rd Season Watch Episode Video   TV (12 eps) Oct 2021 - 51,885 members",8.16,N/A,Add to list
9,"Detective Conan Watch Episode Video   TV (? eps) Jan 1996 - 291,138 members",8.16,N/A,Add to list
10,"Xian Wang de Richang Shenghuo 2   ONA (12 eps) Oct 2021 - 35,480 members",8.00,N/A,Add to list
11,"Senpai ga Uzai Kouhai no Hanashi Watch Promotional Video   TV (12 eps) Oct 2021 - 139,043 members",7.86,N/A,Add to list
12,"Doupo Cangqiong: San Nian Zhi Yue Watch Promotional Video   ONA (13 eps) Oct 2021 - 1,441 members",7.82,N/A,Add to list
13,"Takt Op. Destiny Watch Episode Video   TV (? eps) Oct 2021 - 287,436 members",7.79,N/A,Add to list
14,"Blue Period Watch Promotional Video   TV (? eps) Oct 2021 - 223,848 members Manga Store Volume 1 £9.99 Preview",7.75,N/A,Add to list
15,"Crayon Shin-chan   TV (? eps) Apr 1992 - 67,167 members",7.73,N/A,Add to list
16,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru Watch Episode Video   TV (12 eps) Oct 2021 - 218,602 members",7.69,N/A,Add to list
17,"Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi Watch Promotional Video   OVA (3 eps) Sep 2021 - Sep 2022 39,136 members",7.67,N/A,Add to list
18,"Taishou Otome Otogibanashi Watch Promotional Video   TV (12 eps) Oct 2021 - 58,259 members",7.67,N/A,Add to list
19,"Isekai Shokudou 2 Watch Episode Video   TV (12 eps) Oct 2021 - 45,798 members",7.64,N/A,Add to list
20,"Mini Dragon Specials   Special (8 eps) Jul 2021 - Jan 2022 25,595 members",7.63,N/A,Add to list
21,"Doraemon (2005)   TV (? eps) Apr 2005 - 15,208 members",7.58,N/A,Add to list
22,"Lupin III: Part 6 Watch Episode Video   TV (24 eps) Oct 2021 - 13,262 members",7.57,N/A,Add to list
23,"Obey Me! Watch Promotional Video   ONA (? eps) Jul 2021 - 26,634 members",7.48,N/A,Add to list
24,"Fate/Grand Order   Special (? eps) Dec 2014 - 27,672 members",7.47,N/A,Add to list
25,"Mieruko-chan Watch Promotional Video   TV (12 eps) Oct 2021 - 241,217 members Manga Store Volume 1 £4.49 Preview",7.47,N/A,Add to list
26,"Shiroi Suna no Aquatope Watch Episode Video   TV (24 eps) Jul 2021 - 124,440 members",7.38,N/A,Add to list
27,"Tsuki to Laika to Nosferatu Watch Promotional Video   TV (12 eps) Oct 2021 - 78,876 members",7.38,N/A,Add to list
28,"Wushen Zhuzai   ONA (272 eps) Mar 2020 - 2,517 members",7.36,N/A,Add to list
29,"Ling Jian Zun 4th Season   ONA (180 eps) Sep 2020 - 1,547 members",7.36,N/A,Add to list
